Acetylene 90K, FTIR 4 wavenumber FWHM

      Microns         uncorrected reflectance
       1.450113       1.404946
       1.450519       1.450378
       1.450925       1.458023
       1.451331       1.447844
       1.451737       1.457375
       1.452144       1.451793
       1.452551       1.447991
       1.452958       1.411278
       1.453365       1.384506
       1.453773       1.376752
       1.454181       1.382678
       1.454589       1.392495
       1.454997       1.422639
       1.455405       1.445163
       1.455814       1.434110
       1.456223       1.425472
       1.456632       1.445323
       1.457042       1.461076
       1.457451       1.456324
       1.457861       1.438061
       1.458271       1.418143
       1.458682       1.404740
       1.459092       1.437142
       1.459503       1.454520
       1.459914       1.422512
       1.460325       1.380669
       1.460737       1.369747
       1.461148       1.392236
       1.461560       1.424573
       1.461972       1.439799
       1.462385       1.436477
       1.462797       1.391441
       1.463210       1.370018
       1.463623       1.407945
       1.464037       1.419102
       1.464450       1.402897
       1.464864       1.404154
       1.465278       1.391386
       1.465692       1.395661
       1.466107       1.418581
       1.466522       1.412959
       1.466937       1.382353
       1.467352       1.373926
       1.467767       1.367561
       1.468183       1.366843
       1.468599       1.416898
       1.469015       1.418833
       1.469431       1.361600
       1.469848       1.344931
       1.470265       1.362912
       1.470682       1.366540
       1.471099       1.357323
       1.471517       1.359688
       1.471935       1.363858
       1.472353       1.358222
       1.472771       1.348977
       1.473190       1.352856
       1.473608       1.369887
       1.474027       1.366468
       1.474447       1.385461
       1.474866       1.403958
       1.475286       1.399137
       1.475706       1.363138
       1.476126       1.335793
       1.476546       1.366143
       1.476967       1.363212
       1.477388       1.357394
       1.477809       1.371095
       1.478230       1.372231
       1.478652       1.347980
       1.479074       1.314605
       1.479496       1.322901
       1.479918       1.343066
       1.480341       1.354789
       1.480764       1.345107
       1.481187       1.312688
       1.481610       1.332110
       1.482034       1.368409
       1.482458       1.356402
       1.482882       1.355867
       1.483306       1.390390
       1.483730       1.370649
       1.484155       1.355201
       1.484580       1.356770
       1.485006       1.328206
       1.485431       1.342560
       1.485857       1.344565
       1.486283       1.304949
       1.486709       1.317346
       1.487135       1.332654
       1.487562       1.311405
       1.487989       1.305797
       1.488416       1.301836
       1.488844       1.277327
       1.489271       1.270575
       1.489699       1.260358
       1.490128       1.268333
       1.490556       1.273579
       1.490985       1.262561
       1.491414       1.245820
       1.491843       1.249515
       1.492272       1.262436
       1.492702       1.252460
       1.493132       1.240297
       1.493562       1.232764
       1.493993       1.235820
       1.494423       1.266857
       1.494854       1.280298
       1.495285       1.275217
       1.495717       1.265101
       1.496148       1.270443
       1.496580       1.295524
       1.497012       1.277406
       1.497445       1.266814
       1.497877       1.280600
       1.498310       1.281274
       1.498744       1.271869
       1.499177       1.273581
       1.499611       1.268555
       1.500045       1.249700
       1.500479       1.236957
       1.500913       1.237239
       1.501348       1.241812
       1.501783       1.259025
       1.502218       1.270485
       1.502653       1.249569
       1.503089       1.232843
       1.503525       1.226335
       1.503961       1.219997
       1.504398       1.214937
       1.504834       1.222541
       1.505271       1.224920
       1.505709       1.175470
       1.506146       1.120698
       1.506584       1.124255
       1.507022       1.180290
       1.507460       1.218833
       1.507898       1.209635
       1.508337       1.212929
       1.508776       1.215608
       1.509215       1.206232
       1.509655       1.198023
       1.510094       1.187172
       1.510534       1.159560
       1.510975       1.150095
       1.511415       1.164055
       1.511856       1.181560
       1.512297       1.191507
       1.512738       1.186199
       1.513180       1.174112
       1.513622       1.174465
       1.514064       1.163104
       1.514506       1.155893
       1.514948       1.164896
       1.515391       1.164091
       1.515834       1.154848
       1.516278       1.127628
       1.516721       1.110289
       1.517165       1.100583
       1.517609       1.102718
       1.518054       1.102257
       1.518499       1.090311
       1.518944       1.088802
       1.519389       1.106544
       1.519834       1.118217
       1.520280       1.132295
       1.520726       1.114317
       1.521172       1.082548
       1.521619       1.092181
       1.522065       1.107070
       1.522512       1.108303
       1.522960       1.123750
       1.523407       1.129797
       1.523855       1.097641
       1.524303       1.066440
       1.524751       1.047260
       1.525200       1.018489
       1.525649       1.005078
       1.526098       1.017014
       1.526547       0.999197
       1.526997       0.979528
       1.527447       0.989510
       1.527897       0.988877
       1.528347       1.017165
       1.528798       1.055230
       1.529249       1.074679
       1.529700       1.081613
       1.530152       1.103264
       1.530604       1.108523
       1.531055       1.089822
       1.531508       1.081156
       1.531960       1.077079
       1.532413       1.063257
       1.532866       1.045717
       1.533320       1.053370
       1.533773       1.069562
       1.534227       1.076103
       1.534682       1.048155
       1.535136       1.034983
       1.535591       1.044919
       1.536046       1.015745
       1.536501       0.993121
       1.536956       0.996189
       1.537412       1.003855
       1.537868       1.001494
       1.538324       0.998230
       1.538781       0.988980
       1.539238       0.990208
       1.539695       0.995230
       1.540153       0.994617
       1.540610       0.994059
       1.541068       0.980776
       1.541527       0.976409
       1.541985       0.990605
       1.542444       1.010519
       1.542903       1.011216
       1.543363       1.008674
       1.543822       1.025494
       1.544282       1.029839
       1.544742       1.027670
       1.545203       1.016579
       1.545663       0.994055
       1.546124       0.966678
       1.546586       0.934572
       1.547047       0.872209
       1.547509       0.801864
       1.547971       0.742003
       1.548433       0.715322
       1.548896       0.746454
       1.549359       0.777717
       1.549822       0.769447
       1.550285       0.744488
       1.550749       0.691405
       1.551213       0.635541
       1.551677       0.584050
       1.552142       0.522391
       1.552607       0.519023
       1.553072       0.597626
       1.553537       0.658257
       1.554003       0.639862
       1.554469       0.599138
       1.554935       0.619488
       1.555402       0.679558
       1.555868       0.733048
       1.556336       0.788162
       1.556803       0.869075
       1.557271       0.890410
       1.557738       0.809078
       1.558207       0.814841
       1.558675       0.962337
       1.559144       1.075752
       1.559613       1.107441
       1.560082       1.117098
       1.560552       1.121867
       1.561022       1.134298
       1.561492       1.147885
       1.561963       1.155416
       1.562433       1.173982
       1.562905       1.193152
       1.563376       1.194236
       1.563848       1.192061
       1.564319       1.184575
       1.564792       1.161776
       1.565264       1.144629
       1.565737       1.154022
       1.566210       1.169992
       1.566683       1.167615
       1.567156       1.161736
       1.567630       1.153954
       1.568105       1.138839
       1.568579       1.126920
       1.569054       1.105296
       1.569529       1.091749
       1.570004       1.119937
       1.570480       1.150599
       1.570956       1.137967
       1.571432       1.141116
       1.571908       1.180094
       1.572385       1.196913
       1.572862       1.172642
       1.573340       1.163723
       1.573817       1.176399
       1.574295       1.165388
       1.574773       1.167931
       1.575252       1.178046
       1.575731       1.179019
       1.576210       1.182058
       1.576689       1.194639
       1.577169       1.194490
       1.577649       1.182543
       1.578129       1.173672
       1.578610       1.167775
       1.579090       1.174093
       1.579572       1.172851
       1.580053       1.162286
       1.580535       1.171176
       1.581017       1.195530
       1.581499       1.193985
       1.581982       1.184807
       1.582465       1.189435
       1.582948       1.193210
       1.583431       1.188011
       1.583915       1.194180
       1.584399       1.201331
       1.584884       1.194702
       1.585368       1.184748
       1.585853       1.187690
       1.586339       1.192507
       1.586824       1.183640
       1.587310       1.165290
       1.587796       1.150359
       1.588283       1.149410
       1.588769       1.152034
       1.589256       1.157828
       1.589744       1.178971
       1.590231       1.181622
       1.590719       1.187163
       1.591208       1.190483
       1.591696       1.174860
       1.592185       1.182389
       1.592674       1.195286
       1.593163       1.173544
       1.593653       1.153172
       1.594143       1.161734
       1.594634       1.171643
       1.595124       1.175294
       1.595615       1.169016
       1.596107       1.187912
       1.596598       1.216457
       1.597090       1.198532
       1.597582       1.183301
       1.598075       1.184544
       1.598568       1.185080
       1.599061       1.182303
       1.599554       1.180066
       1.600048       1.189973
       1.600542       1.189121
       1.601036       1.183727
       1.601530       1.200812
       1.602025       1.214005
       1.602521       1.207857
       1.603016       1.206353
       1.603512       1.202799
       1.604008       1.209786
       1.604505       1.219657
       1.605001       1.212562
       1.605498       1.200400
       1.605996       1.192879
       1.606493       1.190637
       1.606991       1.204243
       1.607490       1.214211
       1.607988       1.206040
       1.608487       1.210715
       1.608986       1.221472
       1.609486       1.214021
       1.609986       1.189976
       1.610486       1.179650
       1.610986       1.198752
       1.611487       1.204876
       1.611988       1.190636
       1.612490       1.191927
       1.612991       1.194182
       1.613493       1.187146
       1.613996       1.184299
       1.614498       1.183928
       1.615001       1.185939
       1.615505       1.183477
       1.616008       1.172659
       1.616512       1.171594
       1.617016       1.170864
       1.617521       1.167464
       1.618026       1.183503
       1.618531       1.195852
       1.619036       1.199431
       1.619542       1.187632
       1.620048       1.168462
       1.620554       1.166414
       1.621061       1.182589
       1.621568       1.185588
       1.622076       1.163894
       1.622583       1.147422
       1.623091       1.161662
       1.623600       1.175981
       1.624108       1.170132
       1.624617       1.160215
       1.625127       1.160628
       1.625636       1.160539
       1.626146       1.168818
       1.626656       1.181551
       1.627167       1.167840
       1.627678       1.146856
       1.628189       1.159861
       1.628701       1.171440
       1.629212       1.162772
       1.629725       1.160436
       1.630237       1.171055
       1.630750       1.173492
       1.631263       1.172840
       1.631777       1.173324
       1.632290       1.155903
       1.632804       1.144790
       1.633319       1.149493
       1.633834       1.143305
       1.634349       1.142562
       1.634864       1.146707
       1.635380       1.149140
       1.635896       1.151053
       1.636412       1.148372
       1.636929       1.141406
       1.637446       1.131297
       1.637964       1.138753
       1.638481       1.148769
       1.638999       1.144514
       1.639518       1.136543
       1.640036       1.141431
       1.640555       1.148842
       1.641075       1.145146
       1.641594       1.141497
       1.642114       1.143091
       1.642634       1.138101
       1.643155       1.133847
       1.643676       1.132662
